Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Gutiérrez-Vargas, R., Ugalde-Ramírez, A., Rico-González, M., Pino-Ortega, J., González-Hernández, J., Rojas-Valverde, D.","57193236110; 57200116306; 57211447357; 36343991000; 26644879300; 57193240720","A systematic review of the effects of football playing on changes in serum brain-derived neurotrophic factor level",2021,"Applied Sciences (Switzerland)",11,"24", 11828,,,,,10.3390/app112411828,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85121229209&partnerID=40&md5=d20f806ea6282514a1fb82b42a77ab8d",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85121229209
"Romero, K.W., Quirós, M.I., Huertas, F.V., Vega-Baudrit, J.R., Navarro-Hoyos, M., Araya-Sibaja, A.M.","57287945800; 57364516200; 57364392800; 8611304200; 57191526701; 56106713700","Design of hybrid polymeric-lipid nanoparticles using curcumin as a model: Preparation, characterization, and in vitro evaluation of demethoxycurcumin and bisdemethoxycurcumin-loaded nanoparticles",2021,"Polymers",13,"23", 4207,,,,,10.3390/polym13234207,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120699805&partnerID=40&md5=2be04c406e9244b43dc557443af6232b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120699805
"Echeverría-Sáenz, S., Spínola-Parallada, M., Soto, A.C.","24474002100; 57223008578; 57356762800","Pesticides burden in neotropical rivers: Costa rica as a case study",2021,"Molecules",26,"23", 7235,,,,,10.3390/molecules26237235,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120161748&partnerID=40&md5=d98fc7f038c8a52fb1795f6caf216ff1",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120161748
"Rojas-Valverde, D., Tomás-Carús, P., Timón, R., Batalha, N., Sánchez-Ureña, B., Gutiérrez-Vargas, R., Olcina, G.","57193240720; 22981919300; 24774139800; 56567878900; 56737120700; 57193236110; 15751462000","Short-term skin temperature responses to endurance exercise: A systematic review of methods and future challenges in the use of infrared thermography",2021,"Life",11,"12", 1286,,,,,10.3390/life11121286,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85120160742&partnerID=40&md5=b5dd4467ccc16312240ef3c59add82dd",Review,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85120160742
"Méndez, S., Ruepert, C., Mena, F., Cortés, J.","57345107500; 6603401592; 55368985600; 35422127200","Accumulation of heavy metals (Cd, Cr, Cu, Mn, Pb, Ni, Zn) in sediments, macroalgae (Cryptonemia crenulata) and sponge (Cinachyrella kuekenthali) of a coral reef in Moín, Limón, Costa Rica: An ecotoxicological approach",2021,"Marine Pollution Bulletin",173,"", 113159,,,,,10.1016/j.marpolbul.2021.113159,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85119348280&partnerID=40&md5=60d2dfbf4ae9c3a53febb89453528c09",Article,Final,"",Scopus,2-s2.0-85119348280
"García-Quesada, A., Jiménez-Rocha, A., Romero-Zuñiga, J.J., Dolz, G.","57260670300; 39161542000; 35362709300; 6602401375","Seroprevalence and prevalence of Babesia vogeli in clinically healthy dogs and their ticks in Costa Rica",2021,"Parasites and Vectors",14,"1", 468,,,,,10.1186/s13071-021-04936-7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85115029733&partnerID=40&md5=a99fbdd720b1f15fc98ab7e4d9f5bf9b",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85115029733
"Hernández-Vargas, D., Chacón-Ortiz, M.","57233463300; 57234197800","The network management model for comprehensive early childhood care in costa rica: A view from its actors | O modelo de gestão em rede para a atenção integral à primeira infância na Costa Rica: Uma visão a partir de seus atores | El modelo de gestión en red para la atención integral de la primera infancia en Costa Rica: Una mirada desde sus actores",2021,"Revista Electronica Educare",25,"3",,,,,,10.15359/ree.25-3.12,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113699366&partnerID=40&md5=d0a618e5dcc381541e53b47fec739499",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113699366
"Valverde-López, L., Ureña-Hernández, M.","57234445400; 57234197700","A proposal of didactic strategies and resources by competencies in response to teaching-learning styles of the student population | Uma proposta de estratégias didáticas por competências em resposta aos estilos de ensino-aprendizagem da população estudantil | Una propuesta de estrategias y recursos didácticos por competencias en respuesta a los estilos de enseñanza-aprendizaje de la población estudiantil",2021,"Revista Electronica Educare",25,"3",,,,,,10.15359/ree.25-3.7,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85113593974&partnerID=40&md5=6818c2f23f775fedc3eb3efb6a2b1d5f",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85113593974
"Feng, J., Zhang, J., Ma, Y., Feng, Y., Wang, S., Guo, N., Wang, H., Wang, P., Jiménez-Bonilla, P., Gu, Y., Zhou, J., Zhang, Z.-T., Cao, M., Jiang, D., Wang, S., Liu, X.-W., Shao, Z., Borovok, I., Huang, H., Wang, Y.","55468539700; 55908826000; 57226145974; 57030953600; 57206844269; 57226169964; 57226163307; 57194027703; 57195715236; 57226135622; 56555356100; 56542179200; 36342177000; 57226150368; 8879516000; 56144811000; 7202243994; 6602098786; 55738272100; 56543148900","Renewable fatty acid ester production in Clostridium",2021,"Nature Communications",12,"1", 4368,,,,5,10.1038/s41467-021-24038-3,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110758558&partnerID=40&md5=3b594c10737d851deb0381e61c47b96d",Article,Final,"All Open Access, Gold, Green",Scopus,2-s2.0-85110758558
"Villalobos-Forbes, M., Esquivel-Hernández, G., Sánchez-Murillo, R., Sánchez-Gutiérrez, R., Matiatos, I.","57218532743; 55319904200; 56096709800; 57202865125; 54883987400","Stable isotopic characterization of nitrate wet deposition in the tropical urban atmosphere of Costa Rica",2021,"Environmental Science and Pollution Research",28,"47",,67577,67592,,2,10.1007/s11356-021-15327-x,"https://www.scopus.com/inward/record.url?eid=2-s2.0-85110433287&partnerID=40&md5=79b1e1247069b8eab821e23d6a9bd659",Article,Final,"All Open Access, Green",Scopus,2-s2.0-85110433287
