assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
54369934,56853,Craugastor phasma,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,phasma,,,,"(Lips &amp; Savage, 1996)",Critically Endangered,D,3.1,Unknown,Global
54370331,56902,Craugastor rayo,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,CRAUGASTORIDAE,Craugastor,rayo,,,,"(Savage &amp; DeWeese, 1979)",Endangered,B1ab(iii),3.1,Decreasing,Global
54371545,57007,Diasporus tigrillo,ANIMALIA,CHORDATA,ANURA,AMPHIBIA,ELEUTHERODACTYLIDAE,Diasporus,tigrillo,,,,"(Savage, 1997)",Near Threatened,B1ab(iii),3.1,Stable,Global
54372940,59138,Bolitoglossa alvaradoi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,alvaradoi,,,,"Taylor, 1954",Vulnerable,B1ab(iii),3.1,Decreasing,Global
54373289,59145,Bolitoglossa cerroensis,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,cerroensis,,,,"(Taylor, 1952)",Least Concern,,3.1,Stable,Global
54374670,59159,Bolitoglossa epimela,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,epimela,,,,"Wake &amp; Brame, 1963",Data Deficient,,3.1,Unknown,Global
54374764,59164,Bolitoglossa gracilis,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gracilis,,,,"Bolaños, Robinson &amp; Wake, 1987",Least Concern,,3.1,Stable,Global
54375432,59186,Bolitoglossa nigrescens,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,nigrescens,,,,"(Taylor, 1949)",Data Deficient,,3.1,Unknown,Global
54375918,59194,Bolitoglossa pesrubra,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,pesrubra,,,,"(Taylor, 1952)",Least Concern,,3.1,Stable,Global
54376334,59208,Bolitoglossa sooyorum,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,sooyorum,,,,"Vial, 1963",Endangered,B1ab(v),3.1,Decreasing,Global
54376454,59212,Bolitoglossa subpalmata,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,subpalmata,,,,"(Boulenger, 1896)",Least Concern,,3.1,Stable,Global
54377961,59292,Nototriton abscondens,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,abscondens,,,,"(Taylor, 1948)",Least Concern,,3.1,Stable,Global
54378211,59294,Nototriton gamezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,gamezi,,,,"García-París &amp; Wake, 2000",Least Concern,,3.1,Stable,Global
54378304,59295,Nototriton guanacaste,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,guanacaste,,,,"Good &amp; Wake, 1993",Least Concern,,3.1,Stable,Global
54378716,59298,Nototriton major,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Nototriton,major,,,,"Good &amp; Wake, 1993",Endangered,B1ab(iii),3.1,Unknown,Global
