internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
10030,Hexanchus griseus,ANIMALIA,CHORDATA,HEXANCHIFORMES,CHONDRICHTHYES,HEXANCHIDAE,Hexanchus,griseus,,,,,"(Bonnaterre, 1788)",
135803,Bolitoglossa bramei,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,bramei,,,,,"Wake, Savage &amp; Hanken, 2007",Specimens formerly considered&#160;<em>Bolitoglossa robinisoni</em>&#160;from Valle El Silencio are now thought to belong to this species (E. Arias pers. comm. September 2019).
136082,Bolitoglossa gomezi,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,gomezi,,,,,"Wake, Savage &amp; Hanken, 2007",This species was confused with<em>&#160;Bolitoglossa pesrubra</em>&#160;prior to its naming (Wake <em>et al. </em>2007). It has been determined by mtDNA phylogeny to be part of the&#160;<em>B. subpalmata</em> clade (Boza-Oveido <em>et al.</em> 2012).
161373,Pseudobatos percellens,ANIMALIA,CHORDATA,RHINOPRISTIFORMES,CHONDRICHTHYES,RHINOBATIDAE,Pseudobatos,percellens,,,,,"(Walbaum, 1792)","Last <em>et al</em>. (2016a) revised the genus <em>Rhinobatos</em>, transferring <em>glaucostigma</em>, <em>horkelii</em>, <em>lentiginosus</em>, <em>leucorhynchus</em>, <em>percellens</em>, <em>planiceps</em>, <em>prahli</em>, and <em>productus</em> to the new genus <em>Pseudobatos</em>."
161436,Myliobatis goodei,ANIMALIA,CHORDATA,MYLIOBATIFORMES,CHONDRICHTHYES,MYLIOBATIDAE,Myliobatis,goodei,,,,,"Garman, 1885","Records of eastern Atlantic <em>Myliobatis aquila</em> from southern Brazil probably refer to this species, if both species are indeed distinct (if not, the name <em>M. aquila</em> has priority). There are two sister species in the southern part of its range under the present name <em>M. goodei</em>, with a description of the second species pending (Ruocco <em>et al. </em>2012)."
161564,Carcharhinus altimus,ANIMALIA,CHORDATA,CARCHARHINIFORMES,CHONDRICHTHYES,CARCHARHINIDAE,Carcharhinus,altimus,,,,,"(Springer, 1950)","The Bignose Shark is morphologically distinct but genetically similar to the Sandbar Shark (<em>Carcharhinus plumbeus</em>) (Naylor <em>et al.</em> 2012, Duffy and Struthers 2017)."
161610,Dipturus teevani,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,RAJIDAE,Dipturus,teevani,,,,,"(Bigelow &amp; Schroeder, 1951)",
161682,Cruriraja rugosa,ANIMALIA,CHORDATA,RAJIFORMES,CHONDRICHTHYES,GURGESIELLIDAE,Cruriraja,rugosa,,,,,"Bigelow &amp; Schroeder, 1958",
178644,Anolis altae,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,altae,,,,,"Dunn, 1930",
178725,Anolis carpenteri,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,carpenteri,,,,,"Echelle, Echelle &amp; Fitch, 1971",
186063,Bolitoglossa robinsoni,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,robinsoni,,,,,"Bolaños &amp; Wake, 2009","The specimens tentatively assigned to this species&#160;might represent four to five different species (Bolaños and Wake 2009,&#160;Hertz 2015)."
186104,Bolitoglossa pygmaea,ANIMALIA,CHORDATA,CAUDATA,AMPHIBIA,PLETHODONTIDAE,Bolitoglossa,pygmaea,,,,,"Bolaños &amp; Wake, 2009",
197437,Anolis lemurinus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,lemurinus,,,,,"Cope, 1861","The northern subspecies, <em>Anolis lemurinus bourgeaei</em>, has sometimes been treated as a full species. <em>Anolis rhombifer </em>was synonymized within <em>A. lemurinus </em>by Fitch and Seigel (1984)."
197440,Anolis cristatellus,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,cristatellus,,,,,"Duméril &amp; Bibron, 1837","The only record from Mexico was of one specimen reportedly collected from Cozumel over 100 years ago and described as <span style=""font-style: italic;"">ANOLIS cozumelae</span>. Closer inspection of the specimen found this to be a specimen of&#160;<span style=""font-style: italic;"">A. cristatellus</span>, but it has not been reported again on the island and there is now significant doubt regards the validity of this record."
197442,Anolis capito,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,capito,,,,,"Peters, 1863",
197443,Anolis sagrei,ANIMALIA,CHORDATA,SQUAMATA,REPTILIA,DACTYLOIDAE,Anolis,sagrei,,,,,"Duméril &amp; Bibron, 1837",
