internalTaxonId,scientificName,name,genusName,speciesName,speciesAuthor,infraType,infrarankAuthor
56482,Strabomantis bufoniformis,"Hylodes  bufoniformis  Boulenger, 1896",Hylodes ,bufoniformis ,"Boulenger, 1896",,
56497,Pristimantis caryophyllaceus,"Eleutherodactylus caryophyllaceus (Barbour, 1928)",Eleutherodactylus,caryophyllaceus,"(Barbour, 1928)",,
56497,Pristimantis caryophyllaceus,"Syrrhopus  caryophyllaceus  Barbour, 1928",Syrrhopus ,caryophyllaceus ,"Barbour, 1928",,
56777,Pristimantis moro,"Eleutherodactylus lehmanvalenciae Thornton, 1965",Eleutherodactylus,lehmanvalenciae,"Thornton, 1965",,
56777,Pristimantis moro,"Eleutherodactylus moro Savage, 1965",Eleutherodactylus,moro,"Savage, 1965",,
154033310,Craugastor podiciferus,"Lithodytes podiciferus Cope, 1875",Lithodytes,podiciferus,"Cope, 1875",,
154033310,Craugastor podiciferus,"Eleutherodactylus podiciferus (Cope, 1875)",Eleutherodactylus,podiciferus,"(Cope, 1875)",,
154033310,Craugastor podiciferus,"Hylodes habenatus (Cope, 1875)",Hylodes,habenatus,"(Cope, 1875)",,
154033310,Craugastor podiciferus,"Lithodytes habenatus Cope, 1875",Lithodytes,habenatus,"Cope, 1875",,
154033310,Craugastor podiciferus,"Hylodes podiciferus (Cope, 1875)",Hylodes,podiciferus,"(Cope, 1875)",,
154033310,Craugastor podiciferus,"Hylodes muricinus (Cope, 1875)",Hylodes,muricinus,"(Cope, 1875)",,
154033310,Craugastor podiciferus,"Craugastor jota (Lynch, 1980)",Craugastor,jota,"(Lynch, 1980)",,
154033310,Craugastor podiciferus,"Eleutherodactylus jota Lynch, 1980",Eleutherodactylus,jota,"Lynch, 1980",,
56995,Craugastor taurus,"Eleutherodactylus taurus Taylor, 1958",Eleutherodactylus,taurus,"Taylor, 1958",,
59147,Bolitoglossa colonnea,"Oedipus  colonneus  Dunn, 1924",Oedipus ,colonneus ,"Dunn, 1924",,
59155,Bolitoglossa diminuta,"Nototriton  diminuta (Robinson, 1976)",Nototriton ,diminuta,"(Robinson, 1976)",,
59172,Bolitoglossa lignicolor,"Spelerpes punctatum Brocchi, 1883",Spelerpes,punctatum,"Brocchi, 1883",,
59172,Bolitoglossa lignicolor,"Oedipus  lignicolor (Peters, 1873)",Oedipus ,lignicolor,"(Peters, 1873)",,
59172,Bolitoglossa lignicolor,"Oedipus ahli Unterstein, 1930",Oedipus,ahli,"Unterstein, 1930",,
59172,Bolitoglossa lignicolor,"Bolitoglossa  ahli (Unterstein, 1930)",Bolitoglossa ,ahli,"(Unterstein, 1930)",,
59172,Bolitoglossa lignicolor,"Bolitoglossa palustris Taylor, 1949",Bolitoglossa,palustris,"Taylor, 1949",,
59172,Bolitoglossa lignicolor,"Spelerpes  lignicolor  Peters, 1873",Spelerpes ,lignicolor ,"Peters, 1873",,
59327,Oedipina uniformis,"Oedipina longicauda Taylor, 1952",Oedipina,longicauda,"Taylor, 1952",,
59327,Oedipina uniformis,"Ophiobatrachus vermicularis Gray, 1868",Ophiobatrachus,vermicularis,"Gray, 1868",,
59327,Oedipina uniformis,"Spelerpes  uniformis (Keferstein, 1868)",Spelerpes ,uniformis,"(Keferstein, 1868)",,
59327,Oedipina uniformis,"Spelerpes  vermicularis (Gray, 1868)",Spelerpes ,vermicularis,"(Gray, 1868)",,
59327,Oedipina uniformis,"Oedipus  uniformis (Keferstein, 1868)",Oedipus ,uniformis,"(Keferstein, 1868)",,
59327,Oedipina uniformis,"Oedipina syndactyla Taylor, 1948",Oedipina,syndactyla,"Taylor, 1948",,
59327,Oedipina uniformis,"Oedipina  vermicularis (Gray, 1868)",Oedipina ,vermicularis,"(Gray, 1868)",,
59327,Oedipina uniformis,"Oedipina bonitaensis Taylor, 1952",Oedipina,bonitaensis,"Taylor, 1952",,
59327,Oedipina uniformis,"Oedipina longissima Taylor, 1952",Oedipina,longissima,"Taylor, 1952",,
59327,Oedipina uniformis,"Oedipina inusitata Taylor, 1952",Oedipina,inusitata,"Taylor, 1952",,
59543,Dermophis glandulosus,"Dermophis balboai Taylor, 1968",Dermophis,balboai,"Taylor, 1968",,
60128,Rhinoptera bonasus,"Raja bonasus Mitchell, 1815",Raja,bonasus,"Mitchell, 1815",,
60201,Sphyrna media,"Sphyrna nana Sadowsky, 1965",Sphyrna,nana,"Sadowsky, 1965",,
