internalTaxonId,scientificName,name,language,main
61403,Diplobatis ommata,Pacific Dwarf Numbfish,English,true
63158,Pseudobatos prahli,Gorgona Guitarfish,English,true
161335,Urotrygon rogersi,Raya Redonda de Rogers,Spanish; Castilian,false
161335,Urotrygon rogersi,Rogers' Round Ray,English,true
161336,Scyliorhinus boa,Alitán Boa,Spanish; Castilian,false
161336,Scyliorhinus boa,Roussette boa,French,false
161336,Scyliorhinus boa,Boa Catshark,English,true
161344,Rostroraja velezi,Velez Ray,English,false
161344,Rostroraja velezi,Raie de Vélez,French,false
161344,Rostroraja velezi,Raya de Velezi,Spanish; Castilian,false
161344,Rostroraja velezi,Rasptail Skate,English,true
161355,Nasolamia velox,Cazón trompa blanca,Spanish; Castilian,false
161355,Nasolamia velox,Whitenose Shark,English,true
161394,Urotrygon simulatrix,Raya Redonda Buhonera,Spanish; Castilian,false
161394,Urotrygon simulatrix,Fake Round Ray,English,true
161396,Aetomylaeus asperrimus,Roughskin Bullray,English,true
161415,Breviraja mouldi,Mould's Skate,English,true
161423,Narcine vermiculata,Raie Électrique Vermiculée,French,false
161423,Narcine vermiculata,Raya Eléctrica Rayada,Spanish; Castilian,false
161423,Narcine vermiculata,Raya Eléctrica Vermiculada,Spanish; Castilian,false
161423,Narcine vermiculata,Vermiculate Numbfish,English,true
161451,Mustelus albipinnis,Tripa,Spanish; Castilian,false
161451,Mustelus albipinnis,White-margin Fin Smoothhound,English,true
161457,Pseudobatos glaucostigmus,Speckled Guitarfish,English,true
161479,Galeus arae,Chien à Queue Rude,French,false
161479,Galeus arae,Pintarroja Rabolija,Spanish; Castilian,false
161479,Galeus arae,Roughtail Catshark,English,true
161481,Schroederobatis americana,American Legskate,English,true
161556,Dactylobatus armatus,Skillet Skate,English,true
161565,Dipturus garricki,San Blas Skate,English,true
161642,Fenestraja plutonia,Pluto Pygmy Skate,English,true
161662,Rhizoprionodon longurio,Cazón Bironche,Spanish; Castilian,false
161662,Rhizoprionodon longurio,Cazón Picudo del Pacífico,Spanish; Castilian,false
161662,Rhizoprionodon longurio,Requin Bironche,French,false
161662,Rhizoprionodon longurio,Pacific Sharpnose Shark,English,true
161689,Urotrygon aspidura,Raya Redonda de Rabo Espinudo,Spanish; Castilian,false
161689,Urotrygon aspidura,Spinytail Round Ray,English,true
161694,Rostroraja equatorialis,Raie Équatorienne,French,false
161694,Rostroraja equatorialis,Raya Ecuatorial,Spanish; Castilian,false
161694,Rostroraja equatorialis,Equatorial Skate,English,true
161716,Narcine entemedor,Cortez Numbfish,English,true
161730,Urotrygon munda,Raya Redonda Munda,Spanish; Castilian,false
161730,Urotrygon munda,Munda Round Ray,English,true
161747,Urotrygon nana,Dwarf Round Ray,English,true
14134431,Gymnura crebripunctata,Longsnout Butterfly Ray,English,false
14134431,Gymnura crebripunctata,Raya Mariposa Picuda,Spanish; Castilian,false
14134431,Gymnura crebripunctata,Mazatlan Butterfly Ray,English,true
55309,Duellmanohyla lythrodes,Savage's Brook Frog,English,true
55912,Ptychohyla legleri,Legler's Stream Frog,English,true
59148,Bolitoglossa compacta,Cerro Pando Salamander,English,true
22723926,Cyanocompsa parellina,Blue Bunting,English,true
22723807,Pheucticus tibialis,Black-thighed Grosbeak,English,true
22723828,Caryothraustes poliogaster,Black-faced Grosbeak,English,true
22724096,Icterus mesomelas,Yellow-tailed Oriole,English,true
22724111,Icterus pustulatus,Streak-backed Oriole,English,true
22724317,Quiscalus nicaraguensis,Nicaraguan Grackle,English,true
